YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2017,9192349,T Sunny,Tanker,62685,,1999,18,Comoros,Alang,India
2017,8754839,Rig 105,Other,4161,5420,1975,42,Vanuatu,Unknown,Unknown
2017,8713550,Vila,Reefer,11590,,1990,27,Comoros,Alang,India
2017,8906975,Honduras,Reefer,10629,,1992,25,Comoros,Alang,India
2017,9005481,Happy Fellow,Other,3703,,1992,25,Isle of Man,Alang,India
2017,9200756,Silver Bridge,Tanker,57944,,1999,18,Marshall Islands,Chittagong,Bangladesh
2017,9160267,Wu Chang Hai,Bulk Carrier,16677,,1998,19,China,Taixing,China
2017,9117703,Nan Hai,Bulk Carrier,26123,,1996,21,Panama,Jiangyin,China
2017,8903313,Peng Ying,Bulk Carrier,36544,,1990,27,China,Taixing,China
2017,9155327,Song Hai,Bulk Carrier,27585,,1998,19,China,Zhoushan,China
2017,8913198,You Liang,Bulk Carrier,23303,,1991,26,China,Zhoushan,China
2017,9159452,Lu Hai,Bulk Carrier,26829,,1998,19,China,Zhoushan,China
2017,9236169,Yong Huan,Bulk Carrier,40437,,2000,17,Hong Kong,Jiangyin,China
2017,9251872,Dayahai,Bulk Carrier,28653,,2002,15,Hong Kong,Jiangyin,China
2017,9236834,Kang Qiang,Bulk Carrier,28613,,2002,15,Hong Kong,Jiangyin,China
2017,9228019,Yong Tong,Bulk Carrier,38641,,2001,16,Hong Kong,Xinhui,China
2017,9216418,Yong Feng,Bulk Carrier,39873,,2000,17,Hong Kong,Jiangyin,China
2017,9144536,Sheng Qiang,Bulk Carrier,26062,,1998,19,Hong Kong,Jiangyin,China
2017,9144500,Xin Qiang,Bulk Carrier,26062,,1998,19,Hong Kong,Jiangyin,China
2017,9144512,Gao Qiang,Bulk Carrier,26062,,1998,19,Hong Kong,Jiangyin,China
2017,9228007,Yong Li,Bulk Carrier,38641,,2001,16,Hong Kong,Jiangyin,China
2017,9216420,Yong Tai,Bulk Carrier,39873,,2001,16,Hong Kong,Xinhui,China
2017,9104598,Hua Run Dian Li 1,Bulk Carrier,26091,,1995,22,China,Jiangyin,China
2017,9123635,Gang Qiang,Bulk Carrier,26790,,1997,20,Panama,Jiangyin,China
2017,8912637,Peng Zhong,Bulk Carrier,25891,,1990,27,China,Zhangjiagang,China
2017,8321709,Xin Chun He,Container Ship,1984,,1984,33,China,Jiangyin,China
2017,9262352,De Ping Hai,Bulk Carrier,40437,,2002,15,China,Zhangjiagang,China
2017,9216432,Cos Intrepid,Bulk Carrier,39795,,2001,16,Hong Kong,Xinhui,China
2017,9168881,Cos Fair,Bulk Carrier,26829,,1999,18,Singapore,Jiangyin,China
2017,9238193,Kang Chang,Bulk Carrier,29999,,2001,16,Hong Kong,Jiangyin,China
2017,9240823,Kang Hing,Bulk Carrier,29935,,2002,15,Hong Kong,Jiangyin,China
2017,9230359,Jiu Long Feng,Bulk Carrier,39894,,2002,15,China,Zhangjiagang,China
2017,9144483,Zhi Qiang,Bulk Carrier,26062,,1998,19,Hong Kong,Jiangyin,China
2017,9238208,Kang Sheng,Bulk Carrier,29999,,2002,15,Hong Kong,Jiangyin,China
2017,9104548,Shi Dai 3,Bulk Carrier,36561,,1994,23,China,Jiangyin,China
2017,9077381,Yin Dong,Bulk Carrier,26824,,1994,23,China,Jiangyin,China
2017,9154593,Jia Qiang,Bulk Carrier,26078,,1998,19,Panama,Jiangyin,China
2017,9168893,Cos Glory,Bulk Carrier,26829,,1999,18,Panama,Jiangyin,China
2017,9176670,Sea Maple,Bulk Carrier,26136,,2000,17,Panama,Unknown,China
2017,9264441,Kang Zhong,Bulk Carrier,29145,,2002,15,Hong Kong,Xinhui,China
2017,9162057,Fu Da,Bulk Carrier,37644,,1997,20,Hong Kong,Xinhui,China
2017,9117698,Beihai,Bulk Carrier,26123,,1995,22,Panama,Jiangyin,China
2017,9216444,Cos Joy,Bulk Carrier,39795,,2001,16,Hong Kong,Jiangyin,China
2017,9154579,Jin Qiang,Bulk Carrier,26078,,1998,19,Panama,Jiangyin,China
2017,9144524,Chang Qiang,Bulk Carrier,26062,,1998,19,Hong Kong,Jiangyin,China
2017,9240835,Kang Long,Bulk Carrier,29935,,2002,15,Hong Kong,Jiangyin,China
2017,9117715,Zhong Hai,Bulk Carrier,26123,,1996,21,Panama,Jiangyin,China
2017,9253480,Cos Knight,Bulk Carrier,30053,,2002,15,Panama,Xinhui,China
2017,8910043,Chang He,Other,1316,,1989,28,Panama,Jangjyin,China
2017,8608030,Dina Ocean,Bulk Carrier,11208,,1987,30,Niue,Chittagong,Bangladesh
2017,8821943,Chong Ming,Other,18177,,1993,24,Hong Kong,Gadani,Pakistan
2017,9055917,Lian Shan Hu,Other,518,,1992,25,China,Unknown,China
2017,9055905,Cui Heng Hu,Other,518,,1992,25,China,Unknown,China
2017,9106716,Yin Tai,Bulk Carrier,26057,,1994,23,China,Zhoushan,China
2017,9230385,Shen Nong Feng,Bulk Carrier,39894,,2002,15,China,Xinhui,China
2017,8823707,Tibor,Other,2333,,1988,29,Tanzania,Jiangyin,China
2017,9008550,Teng,Container Ship,34231,,1992,25,Comoros,Gadani,Pakistan
2017,8515037,Yao Fu,Bulk Carrier,12283,,1986,31,Panama,Chittagong,Bangladesh
