VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
Lion,9245029,Fully Cellular Containership,66332,2001,Comoros,Tokei Kaiun Company Limited  ,Japan,Tokei Kaiun Company Limited  ,Leo Ocean S.A.  ,Panama,2016-06-12 00:00:00,Chittagong,Bangladesh,2016-08-20 00:00:00
Riental Treasure,9102617,Bulk Ore Carrier,77439,1994,Korea (South),Nippon Yusen Kabushiki Kaisha (NYK)  ,Japan,NYK Bulkship (Korea) Company Limited  ,NYK Bulkship (Korea) Company Limited  ,Korea (South),2016-06-20 00:00:00,Gadani,Pakistan,2016-06-23 00:00:00
Atlas Highway,8612251,Vehicle Carrier,45742,1987,Liberia,Fukunaga Kaiun K.K. ,Japan,Fukunaga Kaiun K.K. ,Eternity Maritime Shipping S.A. ,Panama,2016-12-13 00:00:00,Alang,India,2016-12-29 00:00:00
Top,8604278,Passenger Ro/Ro,26933,1987,Palau,Nishinihon Kisen K.K.  ,Japan,Nishinihon Kisen K.K.  ,Utopia Line S.A.  ,Japan,2016-06-20 00:00:00,Alang,India,2016-07-05 00:00:00
Chicago,9247558,Fully Cellular Containership,66332,2001,Palau,Shoei Kisen Kaisha Limited  ,Japan,Shoei Kisen Kaisha Limited  ,Almirante Shipping S.A.  ,Panama,2016-07-19 00:00:00,Chittagong,Bangladesh,2016-09-04 00:00:00
Marina Ace,8610526,Vehicle Carrier,54332,1987,Panama,Kansai Steamship Company Limited  ,Japan,Kansai Steamship Company Limited  ,New Shipcarrier S.A.  ,Panama,2016-05-14 00:00:00,Alang,India,2016-06-04 00:00:00
Corona Emblem,9152167,Bulk Carrier,42870,1998,Panama,Kawasaki Kisen Kaisha Limited ('K' Line) ,Japan,Taiyo Nippon Kisen Company Limited ,Kino Transport S.A. ,Panama,2016-03-16 00:00:00,Xinhui,China,2016-03-19 00:00:00
Triton Highway ,8612263,Vehicle Carrier,45783,1987,Panama,Kawasaki Kisen Kaisha Limited ('K' Line)  ,Japan,Taiyo Nippon Kisen Company Limited  ,St. Paul Maritime Corporation  ,Liberia,2016-03-25 00:00:00,Alang,India,2016-04-08 00:00:00
Hercules Highway ,8612316,Vehicle Carrier,46875,1987,Panama,Kawasaki Kisen Kaisha Limited ('K' Line)  ,Japan,Taiyo Nippon Kisen Company Limited  ,St. Paul Maritime Corporation  ,Liberia,2016-09-02 00:00:00,Alang,India,2016-09-16 00:00:00
Century Highway No.2,8319718,Vehicle Carrier,44616,1985,Panama,Kawasaki Kisen Kaisha Limited ('K' Line)  ,Japan,Taiyo Nippon Kisen Company Limited ,Canopus Maritime Company Limited ,Liberia,2016-05-20 00:00:00,Aliaga,Turkey,2016-05-31 00:00:00
Coral,9176266,Bulk Carrier,25942,1999,Panama,Kumiai Senpaku Company Limited ,Japan,Kumiai Senpaku Company Limited ,Southern Pacific Holding Corporation ,Panama,2016-11-29 00:00:00,Alang,India,2016-12-06 00:00:00
Hudson Leader ,8607749,Vehicle Carrier,47307,1987,Panama,Mitsubishi Group of Companies  ,Japan,Mitsubishi Logistics Corporation  ,Hudson River Shipholding S.A.  ,Panama,2016-05-11 00:00:00,Alang,India,2016-05-22 00:00:00
