VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
AL SHROOG,8301254,Products Tanker,1827,1179,1983,Tanzania (Zanzibar),,,Etihad Engineering & Marine Services FZC,United Arab Emirates,Etihad Engineering & Marine,Etihad Engineering & Marine,United Arab Emirates,Gadani,Pakistan,2019-10-01 00:00:00,,
LILIAN,7615866,Supply Ship (O.R.S.V.),1371,1300,1977,Panama,United Arab Emirates,,Folk Shipping LLC,United Arab Emirates,Folk Shipping LLC,Folk Shipping LLC,United Arab Emirates,Alang,India,2019-01-01 00:00:00,,
NOBLE BREEZE,9126871,Container Ship (Fully Cellular),10743,5765,1997,St Vincent & The Grenadines,,,Future Trend Nautical LLC,United Arab Emirates,Orient Express Lines Inc,Blue by Seven Shipping Co Inc,Panama,Chittagong,Bangladesh,2019-05-01 00:00:00,,
KATHY,8302973,Tug/Supply Ship (O.R.S.V.),1218,,1983,Turkmenistan,,,GAC Marine LLC,United Arab Emirates,GAC Marine LLC,Pearl Shipping International,Panama,Unknown,Azerbaijan,2019-02-01 00:00:00,,
MEGALOCHARI,8211801,General Cargo Ship,1316,,1983,Tanzania (Zanzibar),,,George P General Trading FZE,United Arab Emirates,Geomar Shipmanagement SA,Apanema Shiptrade SA,Marshall Islands,Aliaga,Turkey,2019-07-01 00:00:00,,
AKER,7929102,Ro-Ro Cargo Ship,5841,2385,1981,Comoros,,Shaker 1,Hom Management Consultancy,United Arab Emirates,HOM Management Consultancy,HOM Management Consultancy,United Arab Emirates,Alang,India,2019-07-01 00:00:00,,
ROZA,7911789,Supply Ship (O.R.S.V.),766,79854,1983,Unknown,,,Industrial Tools International,United Arab Emirates,Industrial Tools International,Industrial Tools International,United Arab Emirates,Alang,India,2019-03-01 00:00:00,,
DINA,8200943,Anchor Handling Tug Supply,1076,998,1983,St Kitts & Nevis,,,Industrial Tools International,United Arab Emirates,Industrial Tools International,Industrial Tools International,United Arab Emirates,Gadani,Pakistan,2019-05-01 00:00:00,,
DOLPHIN PRINCESS,8107995,Anchor Handling Tug Supply,741,775,1981,St Kitts & Nevis,,,Industrial Tools International,United Arab Emirates,Industrial Tools International,Industrial Tools International,United Arab Emirates,Gadani,Pakistan,2019-08-01 00:00:00,,
AL HAML,8301125,Anchor Handling Tug Supply,451,721,1983,Palau,United Arab Emirates,,Inter Gulf Marine (L.L.C.),United Arab Emirates,Whitesea Shipping & Supply LLC,Echo Maritime Ltd,United Kingdom,Alang,India,2019-10-01 00:00:00,,
