VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
Chart 1,9012848,Fully Cellular Containership,12405,1992,St. Kitts-Nevis ,Evergreen Marine Group,Taiwan,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Taiwan,Chittagong,Bangladesh,2015-05-11 00:00:00
Corona 1,9012850,Fully Cellular Containership,12405,1992,St. Kitts-Nevis ,Evergreen Marine Group,Taiwan,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Taiwan,Chittagong,Bangladesh,2015-05-12 00:00:00
San ,9139488,Fully Cellular Containership,53324,1997,Palau,F. Laeisz Schiffahrtsges.mbH & Company,Germany,Reederei F.Laeisz GmbH ,Beteiligungs KG ms Pusan Schiffahrtsges. mbH & Company,Germany,Chittagong,Bangladesh,2015-11-28 00:00:00
Masuren,9158422,Bulk Carrier,25719,1997,Malta ,F.H. Bertling Reederei GmbH,Germany,F.H. Bertling Reederei GmbH,ms Masuren Schiffahrtsges. mbH & Company KG,Malta,Alang,India,2015-09-12 00:00:00
Toscana,9158410,Bulk Carrier,25719,1997,Malta ,F.H. Bertling Reederei GmbH ,Germany,F.H. Bertling Reederei GmbH ,ms Toscana Schiffahrtsges. mbH & Company KG,Germany,Alang,India,2015-06-13 00:00:00
Fair Afroditi,9447419,Combined Chemical And Oil Tanker,8513,2008,Liberia ,Fairdeal Group Management S.A. ,Greece,Fairdeal Group Management S.A. ,Alfa Tria Shipping Company Limited ,Liberia,Aliaga,Turkey,2015-12-20 00:00:00
Punto Rosso,8612304,Reefer,4961,1987,Kiribati,Fairport Shipping Limited ,Greece,Fairport Shipping Limited ,Naftosini SA ,Greece,Alang,India,2015-02-26 00:00:00
GSN Unity,8017061,Gas Carrier,8592,1982,Panama,Far East Shipmanagement Limited ,Hong Kong,Far East Shipmanagement Limited ,Sphinx Overseas Agencies SA ,Panama,Alang,India,2015-01-01 00:00:00
Angara,8311156,Bulk Carrier,22629,1985,Vanuatu ,Far-Eastern Shipping Company (FESCO),Russia,Fesco Wallem Shipmanagement Limited  ,Angara Maritime Limited,Hong Kong,Chittagong,Bangladesh,2015-02-24 00:00:00
Yenisey,8311168,Bulk Carrier,22629,1985,Marshall Islands ,Far-Eastern Shipping Company (FESCO)  ,Russia,Fesco Wallem Shipmanagement Limited ,Yenisey Maritime Limited,Marshall Islands,Chittagong,Bangladesh,2015-01-24 00:00:00
Zuma,7388700,Floating Production Tanker,68442,1975,St. Kitts-Nevis,Federal Government of Nigeria ,Nigeria,Nigerian National Petroleum Corporation,Nigerian National Petroleum Corporation,Nigeria,Chittagong,Bangladesh,2015-05-19 00:00:00
Carvisa Tres,8613255,Fishing (General),252,1987,Spain ,FICP Armadores de Pesca S.L.,Spain,FICP Armadores de Pesca S.L.,FICP Armadores de Pesca S.L.,Spain,Marin,Spain,2015-05-11 00:00:00
Rui Fu Fa,8419893,Bulk Carrier,35954,1987,Panama ,Five Ocean Maritime Services Company Limited,China,Five Ocean Maritime Services Company Limited,Rui Fu Fa Shipping Company Limited,Hong Kong,Chittagong,Bangladesh,2015-04-30 00:00:00
Wan Voyager,8308941,Bulk Carrier,22135,1984,Panama,Five Ocean Maritime Services Company Limited ,China,Five Ocean Maritime Services Company Limited ,Wan Cheng Shipping Private Limited ,Singapore,Gadani,Pakistan,2015-10-12 00:00:00
Ionian,9198020,Bulk Carrier,90876,1998,St. Kitts-Nevis ,Fostiropoulos Group of Companies,Greece,Fairsky Shipping & Trading S.A.  ,Prosperity Navigation Enterprises S.A.,Panama,Alang,India,2015-06-02 00:00:00
Tiffany S.,7209253,Reefer,1729,1972,Panama ,Fransov S.A.S.  ,France,Fransov S.A.S.  ,Daz Maritime S.A.  ,Panama,Klaipeda,Lithuania,2014-07-31 00:00:00
Santos,9082829,General Cargo With Container Capacity,15509,1998,Togo ,Frota Oceanica e Amazonica S.A.,Brazil,Frota Oceanica e Amazonica S.A.,Frota Oceanica e Amazonica S.A.,Brazil,Alang,India,2015-07-16 00:00:00
Geo Prospector,7016981,Seismographic Research,1417,1970,Panama ,Fugro NV,Netherlands,Fugro Marine Services B.V.,Geo Prospector Marine Incorporated  ,Norway,Ghent,Belgium,2015-07-07 00:00:00
Geo Endeavour,8409927,Support,514,1985,Panama ,Fugro NV,Netherlands,Fugro Marine Services B.V.  ,Geo Endeavour Incorporated,Netherlands,Aliaga,Turkey,2015-03-31 00:00:00
Guo Dian 5,7433701,Bulk Carrier,22254,1982,China ,Fujian Guohang Ocean Shipping (Group) Company Limited ,China,Fujian Guohang Ocean Shipping (Group) Company Limited ,Fujian Guohang Ocean Shipping (Group) Company Limited ,China,Taizhou,China,2015-07-09 00:00:00
An Ji Jiang,8322727,Asphalt Tanker,3951,1986,China ,Fujian Jie An Shipping Company Limited,China,Fujian Jie An Shipping Company Limited,Fujian Jie An Shipping Company Limited,China,Unknown,China,2012-08-03 00:00:00
Qing Bao Shi,8623913,Bulk Carrier,31698,1986,China ,Fujian Province Xiamen Shipping Corporation,China,Fujian Province Xiamen Shipping Corporation,Fujian Province Xiamen Shipping Corporation,China,Unknown,China,2015-02-17 00:00:00
Hua Sheng Jiang,8312693,Bulk Carrier,20099,1985,China ,Fujian Shipping Company (FUSCO)  ,China,Fujian Shipping Company (FUSCO)  ,Hainan Tongli Shipping Company Limited  ,China,Jiangyin,China,2015-02-08 00:00:00
Jin Cheng He,8108810,Fully Cellular Containership,19915,1983,China ,Fujian Zhonghang Shipping Company Limited  ,China,Fujian Zhonghang Shipping Company Limited  ,Fujian Zhonghang Shipping Company Limited  ,China,Zhoushan,China,2015-04-28 00:00:00
Yusuf Cepnioglu,9119646,Fully Cellular Containership,4984,1995,Turkey ,Furkan Denizcilik Sanayi ve Ticaret Limited Sirketi  ,Turkey,Furkan Denizcilik Sanayi ve Ticaret Limited Sirketi  ,Furkan Denizcilik Sanayi ve Ticaret Limited Sirketi  ,Turkey,Ambelaki,Greece,2015-01-28 00:00:00
Gingko,8318623,Bulk Carrier,25899,1984,Singapore,Fuzhou Minlun Shipping Company Limited ,China,Fuzhou Minlun Shipping Company Limited ,Wan Qi Shipping Private Limited ,Singapore,Gadani,Pakistan,2015-10-09 00:00:00
Lora,8507509,Bulk Carrier,23540,1986,Panama ,Gamma Denizcilik Nakliyat ve Dis Ticaret Limited Sirketi  ,Turkey,Gamma Denizcilik Nakliyat ve Dis Ticaret Limited Sirketi  ,Luna Marine Limited  ,Malta,Chittagong,Bangladesh,2015-02-08 00:00:00
Ocean Seeker,7012179,Research,1943,1970,United Kingdom,Gardline Shipping Limited ,United Kingdom,Gardline Shipping Limited ,Gardline Shipping Limited ,United Kingdom,Grenaa,Denmark,2015-12-15 00:00:00
Philippine,9074858,Liquid Petroleum Gas Carrier,2868,1995,France (Int. Register) ,Geogas Trading S.A.,Switzerland,Geogas Maritime SAS  ,Lyonesse Marine S.A.,Marshall Islands,Aliaga,Turkey,2015-06-04 00:00:00
Grampian Heaven,8104321,Standby Safety Vessel,769,1982,United Kingdom,George Craig & Sons Limited,United Kingdom,George Craig & Sons Limited,George Craig & Sons Limited,United Kingdom,Grenaa,Denmark,2015-09-24 00:00:00
Grampian Sprite,8104345,Standby Safety Vessel,766,1982,United Kingdom,George Craig & Sons Limited,United Kingdom,George Craig & Sons Limited,George Craig & Sons Limited,United Kingdom,Grenaa,Denmark,2015-11-22 00:00:00
Giovanni,9138915,Bulk Carrier,37846,1996,Bahamas ,Gestion Maritime S.A.M. ,Monaco,Gestion Maritime S.A.M. ,River Thames Shipping Company Limited ,Bahamas,Gadani,Pakistan,2015-11-27 00:00:00
Barasun 1,8026359,Tug/Supply,1221,1982,Panama ,Global Array Sendirian Berhad,Malaysia,Global Array Sendirian Berhad,Global Array Sendirian Berhad,Malaysia,Mumbai,India,2015-06-18 00:00:00
Ville d'Aquarius,9125607,Fully Cellular Containership,40465,1996,Cyprus ,Global Ship Lease Incorporated ,United Kingdom,Global Ship Lease Incorporated ,Global Ship Lease 2 Limited ,Cyprus,Alang,India,2015-11-12 00:00:00
Ville d'Orion,9125619,Fully Cellular Containership,40465,1997,Cyprus ,Global Ship Lease Incorporated ,United Kingdom,Global Ship Lease Incorporated ,Global Ship Lease 1 Limited ,Cyprus,Alang,India,2015-12-11 00:00:00
GSF Arctic I,8751320,Drill Platform,12072,1980,Vanuatu ,GlobalSantaFe Corporation,United States of America,GlobalSantaFe Corporation,GlobalSantaFe Drilling Company,Panama,Aliaga,Turkey,2015-07-07 00:00:00
GSF Aleutian Key,8750091,Drill Platform,10856,1976,Vanuatu ,GlobalSantaFe Corporation ,United States of America,GlobalSantaFe Corporation ,GlobalSantaFe International Drilling Incorporated ,United States of America,Aliaga,Turkey,2015-12-23 00:00:00
Asean Prosper,9019030,Bulk Carrier,17130,1992,Panama ,Glory Ship Management Private Limited,Singapore,Glory Ship Management Private Limited,Sophia Maritime Limited S.A.,Panama,Alang,India,2015-06-05 00:00:00
Sentosa,8202070,Bulk Carrier,22308,1982,Panama ,Glory Ship Management Private Limited,Singapore,Glory Ship Management Private Limited,Golden Fortune Limited S.A.  ,Panama,Alang,India,2015-07-08 00:00:00
Capt. Nazih,8324385,Bulk Carrier,25982,1985,Belize ,GMZ Ship Management Company S.A.,Lebanon,GMZ Ship Management Company S.A.,Naval Shiptrade S.A.  ,Marshall Islands,Gadani,Pakistan,2015-06-04 00:00:00
Malaviya Five,8026347,Tug/Supply,1221,1982,India ,GOL Offshore Limited,India,GOL Offshore Limited,GOL Offshore Limited,India,Mumbai,India,2015-04-01 00:00:00
Channel Alliance,9127461,Bulk Carrier,87368,1996,Hong Kong ,Golden Ocean Group Limited,Norway,Golden Ocean Management AS  ,Golden President Shipping Corporation,Panama,Chittagong,Bangladesh,2015-06-07 00:00:00
Channel Navigator,9127473,Bulk Carrier,87368,1997,Hong Kong ,Golden Ocean Group Limited  ,Norway,Golden Ocean Management AS  ,Golden Hilton Shipping Corporation  ,Panama,Gadani,Pakistan,2015-05-07 00:00:00
Gold Sand,7638985,Bulk Carrier,10826,1977,Panama ,Gou Rei Maritime S.A.,Taiwan,Gou Rei Maritime S.A.,Gou Rei Maritime S.A.,Taiwan,Chittagong,Bangladesh,2015-05-11 00:00:00
Adamastos,9087269,Bulk Carrier,39017,1995,Liberia ,Gourdomichalis Maritime S.A.  ,Greece,Blue Wall Shipping Limited  ,Adamastos Shipping & Trading S.A.,Liberia,Aliaga,Turkey,2015-07-29 00:00:00
Tebes,7531266,Roll On Roll Off,8393,1977,Tanzania ,Government of Algeria,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA,CNAN Med S.p.A.,Algeria,Aliaga,Turkey,2015-08-20 00:00:00
Eleghma,7708297,Roll On Roll Off,8393,1978,Tanzania ,Government of Algeria  ,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA  ,CNAN Med S.p.A.,Algeria,Aliaga,Turkey,2015-02-19 00:00:00
Djurdjura,7420211,General Cargo With Container Capacity,5389,1976,Algeria ,Government of Algeria  ,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA  ,CNAN Nord S.p.A.  ,Algeria,Aliaga,Turkey,2015-04-03 00:00:00
Djorf,7420223,General Cargo With Container Capacity,5389,1977,Algeria ,Government of Algeria  ,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA  ,CNAN Nord S.p.A.  ,Algeria,Aliaga,Turkey,2015-06-12 00:00:00
Ibn Khaldoun II,7711854,General Cargo With Container Capacity,5400,1977,Algeria ,Government of Algeria  ,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA  ,CNAN Nord S.p.A.  ,Algeria,Aliaga,Turkey,2015-05-15 00:00:00
Ibn Sina II,7720934,General Cargo With Container Capacity,5403,1978,Algeria ,Government of Algeria  ,Algeria,Compagnie Nationale Algerienne de Navigation (CNAN) Group SpA  ,CNAN Nord S.p.A.  ,Algeria,Aliaga,Turkey,2015-04-24 00:00:00
Banglar Doot,8617110,General Cargo With Container Capacity,13125,1988,Bangladesh ,Government of Bangladesh ,Bangladesh,Bangladesh Shipping Corporation ,Bangladesh Shipping Corporation ,Bangladesh,Chittagong,Bangladesh,2015-10-18 00:00:00
Banglar Moni,8120818,General Cargo With Container Capacity,10383,1983,Bangladesh ,Government of Bangladesh ,Bangladesh,Bangladesh Shipping Corporation ,Bangladesh Shipping Corporation ,Bangladesh,Chittagong,Bangladesh,2015-10-26 00:00:00
Banglar Mamata,7913270,General Cargo With Container Capacity,11764,1980,Bangladesh ,Government of Bangladesh ,Bangladesh,Bangladesh Shipping Corporation ,Bangladesh Shipping Corporation ,Bangladesh,Chittagong,Bangladesh,2015-12-22 00:00:00
Petar Beron,5050309,Training,7476,1949,Bulgaria ,Government of Bulgaria  ,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR)  ,Navigation Maritime Bulgare Limited (NAVIBULGAR)  ,Bulgaria,Aliaga,Turkey,2015-01-16 00:00:00
Ark,8209676,Passenger (Cruise),14501,1983,Cook Islands ,Government of Indonesia,Indonesia,Government of Indonesia,Direktorat Jenderal Perhubungan Laut,Indonesia,Chittagong,Bangladesh,2014-12-11 00:00:00
Isa Delta,8307820,Bulk Carrier,1984,,Indonesia ,Government of Indonesia,Indonesia,P.T. PANN Multi Finance,P.T. PANN Multi Finance,Indonesia,Chittagong,Bangladesh,2015-08-26 00:00:00
Sharmi,8318702,Bulk Carrier,35609,1986,Comoros ,Government of Indonesia ,Indonesia,P.T. PANN Multi Finance ,P.T. PANN Multi Finance ,Indonesia,Gadani,Pakistan,2015-09-19 00:00:00
Mex III,8308238,Product Tanker,26309,1989,St. Kitts-Nevis ,Government of Mexico,Mexico,Petroleos Mexicanos Gerencia de Transportacion Maritimos (Pemex),Petroleos Mexicanos Gerencia de Transportacion Maritimos (Pemex),Mexico,Alang,India,2015-08-26 00:00:00
Veronica,6512354,Passenger (Cruise),28891,1966,Bahamas ,Government of Oman ,Oman,Government of Oman ,Government of Oman ,Oman,Alang,India,2015-11-19 00:00:00
Georg Ots,7625835,Passenger Ro/Ro,12549,1980,Russia ,Government of the Republic of Russian Federation,Russia,Federal State Unitary Enterprise Rosmorport,Federal State Unitary Enterprise Rosmorport,Russia,Zhoushan,China,2014-08-31 00:00:00
Grand Noble,7913749,General Cargo,4802,1980,Panama ,Go-Wide Shipping Holding Limited,Hong Kong,Go-Wide Shipping Holding Limited,Bright Moon Shipping Incorporated,Hong Kong,Zhangjiagang,China,2014-05-29 00:00:00
Seatiger,8014356,General Cargo With Container Capacity,3433,1981,Cambodia ,Grand Marine Limited,Russia,Grand Marine Limited,Delouna Shipping Company Limited  ,Cyprus,Chittagong,Bangladesh,2015-06-08 00:00:00
Lian Hua,8315176,Bulk Carrier,20099,1984,Panama ,Greatsources Shipping Consultants Limited,China,Greatsources Shipping Consultants Limited,Link World Shipping Limited  ,China,Chittagong,Bangladesh,2015-05-06 00:00:00
Star Atlantic,8502834,General Cargo With Container Capacity,,1986,Norway (Int. Register) ,Grieg Star Group AS,Norway,Grieg Star Shipping AS,Grieg International II AS,Norway,Jiangyin,China,2015-07-25 00:00:00
Star Florida,8309828,General Cargo With Container Capacity,25345,1985,Norway (Int. Register) ,Grieg Star Group AS  ,Norway,Grieg Star Shipping AS  ,Grieg International II AS  ,Norway,Jiangyin,China,2015-01-02 00:00:00
Star Fraser,8309842,General Cargo With Container Capacity,25345,1985,Norway (Int. Register) ,Grieg Star Group AS  ,Norway,Grieg Star Shipping AS  ,Grieg International II AS  ,Norway,Jiangyin,China,2015-03-28 00:00:00
Star Dieppe,7507265,General Cargo With Container Capacity,27911,1977,Norway (Int. Register) ,Grieg Star Group AS  ,Norway,Grieg Star Shipping AS  ,Grieg Shipping II AS,Norway,Xinhui,China,2015-05-05 00:00:00
Atlantic Companion,8214152,Roll On Roll Off With Container Capacity,57255,1984,Sweden ,Grimaldi Group S.p.A.,Italy,Grimaldi Group S.p.A.,Atlantic Container Line AB,Sweden,Alang,India,2015-09-12 00:00:00
Iginia,6915051,Roll On Roll Off,5768,1969,Italy ,Grupo Ferrovie dello Stato,Italy,Rete Ferroviaria Italiana (RFI) S.p.A.  ,Rete Ferroviaria Italiana (RFI) S.p.A.  ,Italy,Aliaga,Turkey,2015-05-29 00:00:00
Peregrine I,7907180,Drill Ship,11710,1982,Bahamas ,Gryphon Energy Asia Pacific Sendirian Berhad,Malaysia,Gryphon Energy Asia Pacific Sendirian Berhad,Albatross Energy (L) Incorporated ,Malaysia,Chittagong,Bangladesh,2015-09-20 00:00:00
Xin Guang Zhou,8108573,Bulk Carrier,35707,1983,China ,Guangdong Haidian Shipping Company Limited,China,Guangdong Haidian Shipping Company Limited,Guangdong Haidian Shipping Company Limited,China,Xinhui,China,2015-04-03 00:00:00
Yuan,7944308,General Cargo,10234,1980,Comoros ,Guangdong Sun Font Shipping Company,China,Guangdong Sun Font Shipping Company,Guangdong Sun Font Shipping Company,China,Chittagong,Bangladesh,2015-03-18 00:00:00
Sino 6,9077111,Combined Bulk And Oil Carrier,45593,1994,Panama ,Guangzhou Kuifenghang Shipping Company Limited  ,China,Guangzhou Kuifenghang Shipping Company Limited  ,Hongkong De Feng Shipping Limited  ,Hong Kong,Chittagong,Bangladesh,2015-04-07 00:00:00
Hua Du Hai,8309892,Bulk Carrier,27589,1985,China ,Guangzhou Pan Ocean Shipping  ,China,Guangzhou Pan Ocean Shipping  ,Guangzhou Pan Ocean Shipping  ,China,Ningde ,China,2014-12-20 00:00:00
Emerald II,8321101,Bulk Carrier,28739,1987,Panama ,Gulf of Aden Shipping (LLC),United Arab Emirates,Gulf of Aden Shipping (LLC),Oriental Bay Shipping & Trading Incorporated,Panama,Gadani,Pakistan,2015-04-23 00:00:00
Hanjin Haypoint,8821668,Bulk Carrier,77992,1990,South Korea,Hahn & Company (77.8%) and Hanjin Shipping Company Limited (22.2%) ,South Korea,H-Line Shipping Company Limited ,H-Line Shipping Company Limited ,South Korea,Chittagong,Bangladesh,2015-11-02 00:00:00
Empress,9039145,Bulk Carrier,76925,1992,South Korea,Hahn & Company (77.8%) and Hanjin Shipping Company Limited (22.2%) ,South Korea,H-Line Shipping Company Limited ,H-Line Shipping Company Limited ,South Korea,Gadani,Pakistan,2015-09-02 00:00:00
Sheng,8400220,Bulk Carrier,16605,1984,St. Kitts-Nevis ,Hainan Hai Yuan Xing Transport Company Limited,China,Hainan Hai Yuan Xing Transport Company Limited,Hua Fong Marine Private Limited,China,Chittagong,Bangladesh,2015-05-05 00:00:00
Shen Tou Wan,8814512,Fully Cellular Containership,37193,1990,China ,Hainan Pan Ocean Shipping Company Limited,China,Hainan Pan Ocean Shipping Company Limited,Hainan Pan Ocean Shipping Company Limited,China,Yangpu,China,2014-12-07 00:00:00
Rong Yi,8803458,Bulk Carrier,36549,1989,Panama ,Haistar Maritime Company Limited,Hong Kong,Haistar Maritime Company Limited,Rongyi Shipping Company Limited,Hong Kong,Chittagong,Bangladesh,2015-05-10 00:00:00
Timor Challenger,6402901,Standby Safety Vessel,999,1964,Panama ,Hakvoort Transport Shipping BV  ,Netherlands,Hakvoort Transport Shipping BV  ,Wexford Shipping & Trading Incorporated,Panama,Aliaga,Turkey,2015-01-07 00:00:00
Hannah 2,7002186,Research,1863,1969,Cambodia ,Hannah International Mobilization  ,South Korea,Hannah International Mobilization  ,Hannah International Mobilization  ,South Korea,Chittagong,Bangladesh,2015-02-13 00:00:00
Paris Express,9038919,Fully Cellular Containership,53815,1994,Bermuda ,Hapag-Lloyd Aktiengesellschaft,Germany,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd Aktiengesellschaft,Germany,Xinhui,China,2015-02-09 00:00:00
Kiel Express,8902539,Fully Cellular Containership,53783,1991,Bermuda ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Hapag-Lloyd Aktiengesellschaft  ,Hapag-Lloyd Ships Limited  ,Germany,Xinhui,China,2015-03-15 00:00:00
Bonn Express,8711368,Fully Cellular Containership,35919,1989,Bermuda ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Hapag-Lloyd Aktiengesellschaft  ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Aliaga,Turkey,2015-02-02 00:00:00
Heidelberg Express,8711370,Fully Cellular Containership,35919,1989,Bermuda ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Hapag-Lloyd Aktiengesellschaft  ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Aliaga,Turkey,2015-06-24 00:00:00
Livorno Express,8905969,Fully Cellular Containership,37474,1991,Bermuda ,Hapag-Lloyd Aktiengesellschaft  ,Germany,Hapag-Lloyd Aktiengesellschaft  ,Hapag-Lloyd Ships Limited  ,Germany,Aliaga,Turkey,2015-04-27 00:00:00
Arco Humber,7204318,Trailing Suction Dredger,5535,1972,United Kingdom,Heidelberg Cement Group,Germany,Hanson Aggregates Marine Limited  ,Hanson Aggregates Marine Limited  ,United Kingdom,s'Gravendeel,Netherlands,2015-04-01 00:00:00
Ocean Lovely,8313049,Bulk Carrier,18579,1985,Panama,Hengfa Shipping Incorporated ,China,Hengfa Shipping Incorporated ,Ocean Lovely Shipping Limited ,Hong Kong,Alang,India,2015-12-10 00:00:00
Barracuda I,6717019,Salvage tug,1082,1967,Panama ,Hermes Maritime Services Private Limited,India,Hermes Maritime Services Private Limited,Atlantic Star Enterprises Inc,Panama,Chittagong,Bangladesh,2015-04-20 00:00:00
Avenger,8223232,Fire Fighting Tug/Supply,1449,1984,Liberia ,Hermes Maritime Services Private Limited,India,Hermes Maritime Services Private Limited,Pino Shipping Limited,St. Kitts-Nevis,Alang,India,2015-05-06 00:00:00
Lady Sadika,8307040,Bulk Carrier,22009,1984,Malta ,Hind Maritime Enterprises S.A.  ,Greece,Hind Maritime Enterprises S.A.  ,Sadi Shipping Company Limited,Malta,Gadani,Pakistan,2015-05-19 00:00:00
Hoang Son Sun,8323862,Bulk Carrier,13881,1984,Mongolia ,Hoang Son Company Limited,Vietnam,Hoang Son Company Limited,Hoang Son Company Limited,Vietnam,Chittagong,Bangladesh,2015-02-09 00:00:00
Green Lotus,8801723,General Cargo With Container Capacity,6588,1988,Panama ,Hoang Thanh Shipping Company Limited,Vietnam,Hoang Thanh Shipping Company Limited,Hoang Thanh Shipping Company Limited,Vietnam,Alang,India,2015-06-16 00:00:00
Xin Sheng,8307882,Bulk Carrier,22009,1984,Panama ,Hong Kong Shun Xin Marine Limited,China,Hong Kong Shun Xin Marine Limited,Hong Kong Haoxin Shipping Limited,Panama,Chittagong,Bangladesh,2015-05-04 00:00:00
Xing An Da,8307507,Bulk Carrier,19340,1984,Panama ,Hong Sheng Da Shipmanagement Private Limited,Hong Kong,Hong Sheng Da Shipmanagement Private Limited,Xing An Da Shipping Limited  ,British Virgin Islands,Alang,India,2015-08-11 00:00:00
Xing Heng Da,8715481,Bulk Carrier,37086,1989,Panama,Hong Sheng Da Shipmanagement Private Limited ,China,Hong Sheng Da Shipmanagement Private Limited ,Xing Heng Da Shipping Limited ,Hong Kong,Chittagong,Bangladesh,2015-12-18 00:00:00
Ever Glory,7501338,Bulk Carrier,11998,1976,Panama ,Hong Tong Shipping Company Limited,Hong Kong,Hong Tong Shipping Company Limited,Universal International Corporation,Taiwan,Alang,India,2015-06-18 00:00:00
Horizon Challenger,6812211,Fully Cellular Containership,18775,1968,United States of America,Horizon Lines LLC,United States of America,Horizon Lines LLC,Horizon Lines LLC,United States of America,Brownsville,United States of America,2014-06-30 00:00:00
Banga Bonik,8126159,Fully Cellular Containership,5932,1983,Bangladesh ,HRC Shipping Limited,Bangladesh,HRC Shipping Limited,HRC Shipping Limited,Bangladesh,Chittagong,Bangladesh,2015-07-22 00:00:00
Hub Stellar,9084774,Fully Cellular Containership,9048,1994,Marshall Islands ,Hubline Berhad,Malaysia,Hub Shipping Sendirian Berhad  ,Mount Mulu LLC,Marshall Islands,Chittagong,Bangladesh,2015-05-19 00:00:00
Hub Grandiose,9123958,Fully Cellular Containership,9048,1995,Marshall Islands ,Hubline Berhad  ,Malaysia,Hub Shipping Sendirian Berhad ,Mount Mulu LLC ,Marshall Islands,Chittagong,Bangladesh,2015-05-18 00:00:00
Global Victory,9087283,Bulk Carrier,76068,1996,Malta ,Hyundai Merchant Marine Company Limited (HMM),South Korea,Hyundai Merchant Marine Company Limited (HMM),Erato Owning Company Limited  ,Greece,Chittagong,Bangladesh,2015-03-22 00:00:00
Prosperity 1,8821632,Bulk Carrier,77650,1990,Sierra Leone ,Hyundai Merchant Marine Company Limited (HMM),South Korea,Hyundai Merchant Marine Company Limited (HMM),Hyundai Merchant Marine Company Limited (HMM),South Korea,Chittagong,Bangladesh,2015-05-07 00:00:00
Universal 1,8821591,Bulk Carrier,101604,1990,Sierra Leone ,Hyundai Merchant Marine Company Limited (HMM),South Korea,Hyundai Merchant Marine Company Limited (HMM),Hyundai Merchant Marine Company Limited (HMM),South Korea,Chittagong,Bangladesh,2015-05-09 00:00:00
Princess Juana K.,7806881,Bulk Carrier,11059,1978,Panama ,I.M. Marine Services (London) Limited,United Kingdom,I.M. Marine Services (London) Limited,Medela Investment Incorporated,Panama,Aliaga,Turkey,2015-05-13 00:00:00
Dubai Star,8806797,Fully Cellular Containership,37209,1991,Liberia,Icon Investment Corporation ,United States of America,Icon Investment Corporation ,Icon Containership II LLC ,United States of America,Alang,India,2015-02-09 00:00:00
Nero,7361233,RoRo,40594,1976,St. Kitts-Nevis,Ignazio Messina & C. S.p.A. ,Italy,Ignazio Messina & C. S.p.A. ,Ignazio Messina & C. S.p.A. ,Italy,Alang,India,2015-01-05 00:00:00
Thai Dawn,8310956,Bulk carrier,18722,1985,Marshall Islands,IMC Shipping Company Private Limited ,Singapore,IMC Shipping Company Private Limited ,Harvest Shipping Company Limited ,Marshall Islands,Alang,India,2015-01-11 00:00:00
Thai Harvest,8606305,Bulk carrier,23124,1987,Marshall Islands,IMC Shipping Company Private Limited ,Singapore,IMC Shipping Company Private Limited ,Greenfield Limited ,Marshall Islands,Alang,India,2015-02-27 00:00:00
Malmo,8116738,General Cargo With Container Capacity,8328,1982,Tanzania ,IMS Greece Company ,Greece,IMS Greece Company ,Globestar Shipping Limited ,Marshall Islands,Aliaga,Turkey,2015-09-19 00:00:00
Suraya-Y,8023319,Bulk carrier,9099,1982,Sierra Leone,Indicator Marine Company Limited ,Egypt,Indicator Marine Company Limited ,Suraya Shipping Company Limited ,Marshall Islands,Alang,India,2015-02-16 00:00:00
Ingenious,8309012,Bulk Carrier,22142,1985,Panama ,Ingenious Enterprise Limited,British Virgin Islands,Ingenious Enterprise Limited,Ingenious Enterprise Limited,British Virgin Islands,Chittagong,Bangladesh,2015-07-01 00:00:00
Petrusse,8623286,Chemical Tanker,0,1959,Luxembourg,International Oil Transport ,Luxembourg,International Oil Transport ,International Oil Transport ,Luxembourg,Kampen,Netherlands,2015-11-03 00:00:00
Viva,8203995,Product Tanker,944,1982,Belize ,International Sea Incorporated,Belize,International Sea Incorporated,International Sea Incorporated,Belize,Chittagong,Bangladesh,2015-07-21 00:00:00
Belize City,7630141,Bulk Carrier,9965,1976,Belize ,International Shipping Group & Trading Limited,Turkey,International Shipping Group & Trading Limited,Belize Shipping & Trading Limited  ,Belize,Aliaga,Turkey,2015-03-29 00:00:00
