BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,China Ocean Shipping (Group) Company (COSCO) ,Tai Shan Hai,8318324,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Xingang, China ",2013-09-19 00:00:00,1987,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Tian Shan Hai,8406444,China ,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,"Xingang, China ",2013-10-31 00:00:00,1985,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Full Beauty,9074080,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Heyday Shipping Limited ,"Xinhui, China",2013-12-21 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Full Sources,9064449,Hong Kong ,,,China Ocean Shipping (Group) Company (COSCO) ,Li Lin Shipping Limited ,"Xinhui, China",2013-12-17 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Full Spring,9064451,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Fast Line Enterprise Limited ,"Xinhui, China",2013-10-26 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Grand Way,9077264,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Smart Wise Shipping Limited ,"Xinhui, China",2013-09-17 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Joyous Age,9047099,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Golden Union Shipping Limited ,"Xinhui, China",2013-12-13 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Mass Glory,9046916,Panama ,,,COSCO (HK) Shipping Company Limited ,Bonusnauta Shipping Corporation ,"Xinhui, China",2013-09-24 00:00:00,1993,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Mass Prosperity,9050321,Panama ,,,COSCO (HK) Shipping Company Limited ,Celeritas Maritime Corporation ,"Xinhui, China",2013-11-14 00:00:00,1993,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Xiang,8028620,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,"Xinhui, China",2013-10-18 00:00:00,1983,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Shen Quan Hai,8301383,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,"Xinhui, China",2013-02-01 00:00:00,1984,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO),Tong Shan Hai,8025551,China ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,"Xinhui, China",2013-10-13 00:00:00,1983,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Xinyuan Hai,8511990,Panama ,,,COSCO Bulk Carrier Company Limited ,Xinyuanhai Shipping Incorporated ,"Xinhui, China",2013-10-03 00:00:00,1988,Bulker,,,
